Region,Country,State,City,Month,Day,Year,AvgTemperature
North America,US,Alaska,Anchorage,1,1,1995,23.2
North America,US,Alaska,Anchorage,1,2,1995,27.6
North America,US,Alaska,Anchorage,1,3,1995,32
North America,US,Alaska,Anchorage,1,4,1995,29.3
North America,US,Alaska,Anchorage,1,5,1995,30.1
North America,US,Alaska,Anchorage,1,6,1995,26.8
North America,US,Alaska,Anchorage,1,7,1995,25.6
North America,US,Alaska,Anchorage,1,8,1995,18.1
North America,US,Alaska,Anchorage,1,9,1995,5
North America,US,Alaska,Anchorage,1,10,1995,5.5
North America,US,Alaska,Anchorage,1,11,1995,2.7
North America,US,Alaska,Anchorage,1,12,1995,2.5
North America,US,Alaska,Anchorage,1,13,1995,-2.6
North America,US,Alaska,Anchorage,1,14,1995,-6.7
North America,US,Alaska,Anchorage,1,15,1995,-3.7
North America,US,Alaska,Anchorage,1,16,1995,11.3
North America,US,Alaska,Anchorage,1,17,1995,21.6
North America,US,Alaska,Anchorage,1,18,1995,15.5
North America,US,Alaska,Anchorage,1,19,1995,14.9
North America,US,Alaska,Anchorage,1,20,1995,23.6
North America,US,Alaska,Anchorage,1,21,1995,29.3
North America,US,Alaska,Anchorage,1,22,1995,29.1
North America,US,Alaska,Anchorage,1,23,1995,25.2
North America,US,Alaska,Anchorage,1,24,1995,17.5
North America,US,Alaska,Anchorage,1,25,1995,2.4
North America,US,Alaska,Anchorage,1,26,1995,-4.4
North America,US,Alaska,Anchorage,1,27,1995,0.3
North America,US,Alaska,Anchorage,1,28,1995,17
North America,US,Alaska,Anchorage,1,29,1995,26.7
North America,US,Alaska,Anchorage,1,30,1995,28.8
North America,US,Alaska,Anchorage,1,31,1995,29.9
North America,US,Alaska,Anchorage,2,1,1995,22.6
North America,US,Alaska,Anchorage,2,2,1995,17.4
North America,US,Alaska,Anchorage,2,3,1995,21
North America,US,Alaska,Anchorage,2,4,1995,23.4
North America,US,Alaska,Anchorage,2,5,1995,33.8
North America,US,Alaska,Anchorage,2,6,1995,39.5
North America,US,Alaska,Anchorage,2,7,1995,32.9
North America,US,Alaska,Anchorage,2,8,1995,34.2
North America,US,Alaska,Anchorage,2,9,1995,31.6
North America,US,Alaska,Anchorage,2,10,1995,32.8
North America,US,Alaska,Anchorage,2,11,1995,30.9
North America,US,Alaska,Anchorage,2,12,1995,28.3
North America,US,Alaska,Anchorage,2,13,1995,29.8
North America,US,Alaska,Anchorage,2,14,1995,27
North America,US,Alaska,Anchorage,2,15,1995,24.1
North America,US,Alaska,Anchorage,2,16,1995,14.4
North America,US,Alaska,Anchorage,2,17,1995,11.6
North America,US,Alaska,Anchorage,2,18,1995,11.6
North America,US,Alaska,Anchorage,2,19,1995,7.6
North America,US,Alaska,Anchorage,2,20,1995,9.6
North America,US,Alaska,Anchorage,2,21,1995,18
North America,US,Alaska,Anchorage,2,22,1995,13.6
North America,US,Alaska,Anchorage,2,23,1995,7.2
North America,US,Alaska,Anchorage,2,24,1995,4.4
North America,US,Alaska,Anchorage,2,25,1995,4.5
North America,US,Alaska,Anchorage,2,26,1995,15.3
North America,US,Alaska,Anchorage,2,27,1995,24.3
North America,US,Alaska,Anchorage,2,28,1995,23.5
North America,US,Alaska,Anchorage,3,1,1995,23.2
North America,US,Alaska,Anchorage,3,2,1995,26.4
North America,US,Alaska,Anchorage,3,3,1995,19.1
North America,US,Alaska,Anchorage,3,4,1995,18.3
North America,US,Alaska,Anchorage,3,5,1995,17.7
North America,US,Alaska,Anchorage,3,6,1995,24.4
North America,US,Alaska,Anchorage,3,7,1995,17.1
North America,US,Alaska,Anchorage,3,8,1995,19.8
North America,US,Alaska,Anchorage,3,9,1995,20
North America,US,Alaska,Anchorage,3,10,1995,18.1
North America,US,Alaska,Anchorage,3,11,1995,13.5
North America,US,Alaska,Anchorage,3,12,1995,8.2
North America,US,Alaska,Anchorage,3,13,1995,4.4
North America,US,Alaska,Anchorage,3,14,1995,1.8
North America,US,Alaska,Anchorage,3,15,1995,-3.1
North America,US,Alaska,Anchorage,3,16,1995,4.6
North America,US,Alaska,Anchorage,3,17,1995,18.2
North America,US,Alaska,Anchorage,3,18,1995,19.5
North America,US,Alaska,Anchorage,3,19,1995,22.5
North America,US,Alaska,Anchorage,3,20,1995,21.9
North America,US,Alaska,Anchorage,3,21,1995,13.8
North America,US,Alaska,Anchorage,3,22,1995,11.3
North America,US,Alaska,Anchorage,3,23,1995,10.7
North America,US,Alaska,Anchorage,3,24,1995,9.8
North America,US,Alaska,Anchorage,3,25,1995,13.2
North America,US,Alaska,Anchorage,3,26,1995,21.4
North America,US,Alaska,Anchorage,3,27,1995,26.7
North America,US,Alaska,Anchorage,3,28,1995,34.8
North America,US,Alaska,Anchorage,3,29,1995,38.7
North America,US,Alaska,Anchorage,3,30,1995,37.8
North America,US,Alaska,Anchorage,3,31,1995,40.5
North America,US,Alaska,Anchorage,4,1,1995,39.6
North America,US,Alaska,Anchorage,4,2,1995,37.5
North America,US,Alaska,Anchorage,4,3,1995,36.1
North America,US,Alaska,Anchorage,4,4,1995,39.1
North America,US,Alaska,Anchorage,4,5,1995,37.9
North America,US,Alaska,Anchorage,4,6,1995,36.3
North America,US,Alaska,Anchorage,4,7,1995,36.3
North America,US,Alaska,Anchorage,4,8,1995,37
North America,US,Alaska,Anchorage,4,9,1995,40.5
North America,US,Alaska,Anchorage,4,10,1995,36.7
North America,US,Alaska,Anchorage,4,11,1995,38.8
North America,US,Alaska,Anchorage,4,12,1995,38.9
North America,US,Alaska,Anchorage,4,13,1995,38.8
North America,US,Alaska,Anchorage,4,14,1995,39.5
North America,US,Alaska,Anchorage,4,15,1995,40.6
North America,US,Alaska,Anchorage,4,16,1995,37.9
North America,US,Alaska,Anchorage,4,17,1995,40.8
North America,US,Alaska,Anchorage,4,18,1995,39.4
North America,US,Alaska,Anchorage,4,19,1995,37.8
North America,US,Alaska,Anchorage,4,20,1995,40.8
North America,US,Alaska,Anchorage,4,21,1995,39.9
North America,US,Alaska,Anchorage,4,22,1995,41.3
North America,US,Alaska,Anchorage,4,23,1995,43
North America,US,Alaska,Anchorage,4,24,1995,41.3
North America,US,Alaska,Anchorage,4,25,1995,44.5
North America,US,Alaska,Anchorage,4,26,1995,43.4
North America,US,Alaska,Anchorage,4,27,1995,41.8
North America,US,Alaska,Anchorage,4,28,1995,41.9
North America,US,Alaska,Anchorage,4,29,1995,46
North America,US,Alaska,Anchorage,4,30,1995,47.4
North America,US,Alaska,Anchorage,5,1,1995,50.3
North America,US,Alaska,Anchorage,5,2,1995,51.7
North America,US,Alaska,Anchorage,5,3,1995,51.6
North America,US,Alaska,Anchorage,5,4,1995,47.1
North America,US,Alaska,Anchorage,5,5,1995,42.7
North America,US,Alaska,Anchorage,5,6,1995,43.1
North America,US,Alaska,Anchorage,5,7,1995,43.2
